Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
51,Intel Xeon E3-1535M v5,1MB + 8MB,45,2900 ? 3800,4/8,57.8,7221,5772.5,22321.5,1.83,8.16,159.5,745.5,10.37,172,46.37
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
52,Intel Core i7-6970HQ,1MB + 8MB,45,2800 ? 3700,4/8,,,,,,,,,,,
54,Intel Core i7-7700HQ,1MB + 6MB,45,2800 ? 3800,4/8,57.9,7686,5915,22209,1.81,8.13,159,734,7.5,166.9,46
55,AMD Ryzen 3 1300X,2MB + 8MB,65,3500 ? 3700,4/4,52.4,6310,4676,16094,1.72,6.37,152,558,10.8,181.6,38.4
57,Intel Core i5-7500,1MB + 6MB,65,3400 ? 3800,4/4,55.9,7247,,,1.83,6.89,159,585,9.72,181.63,39.49
58,Intel Xeon E3-1515M v5,1MB + 8MB,45,2800 ? 3700,4/8,,,,,,,,,,,
59,Intel Core i7-5850HQ,1MB + 6MB,47,2700 ? 3600,4/8,31.1,,,,,,,667,,,
60,Intel Xeon E3-1505M v5,1MB + 8MB,45,2800 ? 3700,4/8,56.4,7024,5560,21436,1.78,7.91,157.5,724.5,7.8,166,45
61,Intel Core i7-6870HQ,1MB + 8MB,45,2700 ? 3600,4/8,,,,,,,,,,,
62,Intel Core i7-4980HQ,1MB + 6MB,47,2800 ? 4000,4/8,56.7,7609,5737,21137,1.74,7.48,154,696,6.73,174,40.7
63,Intel Core i7-4910MQ,1MB + 8MB,47,2900 ? 3900,4/8,50.5,7078,5512,20997.5,1.72,7.52,153,697,,162,41
64,Intel Xeon E3-1231 v3,1MB + 8MB,80,3400 ? 3800,4/8,51.4,,5655,21542,1.7,7.91,152,732,,,
65,Intel Xeon E3-1230 v3,1MB + 8MB,80,3300 ? 3700,4/8,52,7996,5506,21708,1.66,7.91,145,729,,,
66,Intel Core i5-6600K,1MB + 6MB,91,3500 ? 3900,4/4,54.4,7413,6188,21324,1.88,6.93,166,601.5,,196.3,40.1
67,Intel Core i7-3770K,1MB + 8MB,77,3500 ? 3900,4/8,56.3,7229,5536,22190,1.65,7.7,,,6.39,172.3,43.4
68,Intel Core i7-3940XM,1MB + 8MB,55,3000 ? 3900,4/8,54.4,7176,5252,20564,1.62,7.45,,,6.98,161.08,40.6
69,Intel Core i7-5700HQ,1MB + 6MB,47,2700 ? 3500,4/8,55.6,7665,5539,21530,1.66,7.78,144,720,6.84,166.36,42.92
70,Intel Core i7-5750HQ,1MB + 6MB,47,2500 ? 3400,4/8,,,,,,,,,,,
71,AMD Ryzen 5 1400,2MB + 8MB,65,3200 ? 3400,4/8,49.9,6436.5,4204.5,17556.5,1.53,7.78,133.76,687.1,7.8,146.9,43
72,Intel Core i7-6820HK,1MB + 8MB,45,2700 ? 3600,4/8,56.2,7410,5653,21165,1.73,7.75,152,709,7.32,165.9,44.1
73,Intel Core i7-6820HQ,1MB + 8MB,45,2700 ? 3600,4/8,55.3,6866,5429,20868,1.72,7.67,153,704,7.9,163.95,44.15
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
74,Intel Core i7-6770HQ,1MB + 6MB,45,2600 ? 3500,4/8,54.3,,5536,21075,1.66,7.76,134.5,711,7.34,164.7,43.5
75,Intel Core i7-6700T,1MB + 6MB,35,2800 ? 3600,4/8,55.5,7253,5605,20201,1.74,7.26,153,668,9.85,165.2,41.9
76,Intel Core i7-4900MQ,1MB + 8MB,47,2800 ? 3800,4/8,53.9,7184.5,5470,20313,1.67,7.08,145,641,7.63,157,38.66
77,Intel Core i7-4960HQ,1MB + 6MB,47,2600 ? 3800,4/8,29.4,,,,,,,632,,,
