Ранг,Модель,Архитектура,Пикс. шейдеры,Вершин. шейдеры,Штатная частота,Turbo,Частота памяти,Шина памяти,Тип,Версия DirectX,OpenGL,"Потенциал, %",3DMark Ice Storm GPU,3DMark Cloud Gate GPU,3DMark Fire Strike Graphics,3DMark11 P GPU,3DMark06,GFXBench
"1. Видеокарты класса High-End
Эти карты обеспечивают наивысший возможный для мобильных компьютеров уровень производительности в 3D. Они вполне способны справиться с современными играми при высоком разрешении и выкрученных на максимум настройках графики. Однако в силу того, что данные видеокарты потребляют очень много энергии, они используются только в больших ноутбуках со слабым временем автономной работы.",,,,,,,,,,,,,,,,,,
67,AMD Radeon R9 M295X,GCN 3,2048,,,850,5448,256,GDDR5,12 (FL 12_0),,34.2,,38132,6590.5,8850.5,35421,393
68,AMD Radeon R9 M390X,GCN 3,2048,,,723,5000,256,GDDR5,12 (FL 12_0),4.3 / Vulkan,,,,,,,
69,NVIDIA Quadro M3000M,Maxwell,1024,,1050,,5000,256,GDDR5,12_1,4.5,31.3,,44602.5,6536.5,8288.5,27320.5,
71,NVIDIA GeForce GTX 1050 (Notebook),Pascal,640,,1354,1493,7000,128,GDDR5,12_1,4.5,36.6,282600,37840,6022.5,7721.5,27132,532.5
72,AMD FirePro W7170M,GCN 3,2048,,723,,5000,256,GDDR5,12 (FL 12_0),4.3 / Vulkan,32.7,,43124,6935,9708,28430,
73,AMD Radeon R9 M395,GCN,1792,,834,,5460,256,GDDR5,12 (FL 12_0),4.3 / Vulkan,19.1,,38490,6819,8656,,
Ранг,Модель,Архитектура,Пикс. шейдеры,Вершин. шейдеры,Штатная частота,Turbo,Частота памяти,Шина памяти,Тип,Версия DirectX,OpenGL,"Потенциал, %",3DMark Ice Storm GPU,3DMark Cloud Gate GPU,3DMark Fire Strike Graphics,3DMark11 P GPU,3DMark06,GFXBench
76,NVIDIA GeForce GTX 880M,Kepler,1536,,954,,5000,256,GDDR5,12 (FL 11_0),4.3,31.6,268706,39891,6101,8578,29036.5,65
81,NVIDIA GeForce GTX 780M,Kepler,1536,,823,,5000,256,GDDR5,11,4.3,26.6,,35965,5244,7776.5,23381.5,
82,NVIDIA Quadro K5100M,Kepler,1536,,771,,3600,256,GDDR5,11,4.3,20.9,2197,31015,4793,6880,24910,
85,AMD Radeon RX 560 (Laptop),Polaris,896,,,,6000,128,GDDR5,12,Vulkan,,,,,,,
86,AMD Radeon Pro WX 4150,Polaris,896,,,1053,7000,128,GDDR5,12,Vulkan,,,,,,,
88,NVIDIA GeForce GTX 965M,Maxwell,1024,,924 / 935,950 / 1151,5000,128,GDDR5,12 (FL 12_1),4.5,33.1,259766,34748,5536,7322,24774,446
89,NVIDIA Quadro M2200,Maxwell,1024,,694,1038,5508,128,GDDR5,12 (FL 11_0),4.5,35.8,289176,37796,5850,7372,28149.5,432
90,NVIDIA GeForce GTX 870M,Kepler,1344,,941,,5000,192,GDDR5,12 (FL 11_0),4.3,26.3,,31322,4694,7156,25112,
91,AMD Radeon R9 M290X,GCN,1280,,850,900,4800,256,GDDR5,12 (FL 11_1),4.3,15.6,,33147,5294,6817,,
97,AMD Radeon RX 460 (Laptop),Polaris,896,,,1180,6000,128,GDDR5,12,Vulkan,17.1,96383,31294,5107.5,7792.5,,
100,AMD FirePro M6100,GCN,768,,1100,,6000,128,GDDR5,12 (FL 12_0),4.3,23.9,,25342,3837,5369,25004,
102,AMD Radeon R9 M390,GCN,1024,,,958,5460,256,GDDR5,12 (FL 11_2),,37.7,,,,6819,25800,
103,AMD Radeon Pro 560,Polaris,1024,,907,,5080,128,GDDR5,12,Vulkan,26.3,198867,23105,3892,5305,24516,283.6
104,AMD Radeon Pro 460,Polaris,1024,,900,,5000,128,GDDR5,12,Vulkan,26.2,,27064,4584,6749,27694,320.9
105,AMD Radeon Pro WX 4130,Polaris,640,,,1053,7000,128,GDDR5,12,Vulkan,,,,,,,
106,NVIDIA GeForce GTX 960M,Maxwell,640,,1096,1202,5000,128,GDDR5,12 (FL 11_0),4.5,29.2,226308,30085.5,4318,5278,23733,
111,NVIDIA Quadro M1200,Maxwell,640,,991,1150,5000,128,GDDR5,12 (FL 11_0),4.5,30.6,240298,27557,4141.5,5310,26109,
112,AMD Radeon RX 550 (Laptop),Polaris,512,,1100,1183,7000,128,GDDR5,12,Vulkan,29.3,239256,27941,4041,5557,23308,
114,NVIDIA GeForce MX150 (Laptop GT 1030),Pascal,384,,1468,1532,6008,64,GDDR5,12_1,4.5,25.2,232351,20470,3569.5,4564,20343,283.9
115,NVIDIA Quadro P500,Pascal,384,,,,6008,64,GDDR5,12_1,4.5,,,,,,,
Ранг,Модель,Архитектура,Пикс. шейдеры,Вершин. шейдеры,Штатная частота,Turbo,Частота памяти,Шина памяти,Тип,Версия DirectX,OpenGL,"Потенциал, %",3DMark Ice Storm GPU,3DMark Cloud Gate GPU,3DMark Fire Strike Graphics,3DMark11 P GPU,3DMark06,GFXBench
116,NVIDIA Quadro M2000M,Maxwell,640,,1038,1197,5000,128,GDDR5,12 (FL 11_0),4.5,24.6,,29795,4157,5143,25604,310.7
117,NVIDIA Quadro K5000M,Kepler,1344,,706,,3000,256,GDDR5,11,4.1,22.2,,23060.5,2797.5,4893,24239,
118,NVIDIA Quadro K4100M,Kepler,1152,,706,,3200,256,GDDR5,11,4.3,23.8,,24685,3654,4957,25559.5,
119,AMD Radeon Pro 555,Polaris,768,,855,,5080,128,GDDR5,12,Vulkan,28.9,217690,22624,3721,5185,26389,
120,AMD Radeon Pro 455,Polaris,768,,855,,5000,128,GDDR5,12,Vulkan,27.2,229045,23434,3759,5388,25873,229
121,NVIDIA GeForce GTX 770M,Kepler,960,,811,,4000,192,GDDR5,11,4.3,21.9,,23513,3347,4889,22486,321
122,AMD Radeon RX 540,Polaris,512,,,1219,6000,128,GDDR5,12,Vulkan,,,,,,,
123,NVIDIA GeForce GTX 860M,Maxwell,640,,1029,,5000,128,GDDR5,12 (FL 11_0),4.4,27.9,215144,27960.5,3904,4902,23220.5,
131,AMD Radeon Pro 450,Polaris,640,,800,,5080,128,GDDR5,12,Vulkan,26.4,200518,21533,3252,4502,24189,
132,NVIDIA GeForce GTX 950M,Maxwell,640,,914 - 993,1124,1800 - 5000,128,DDR3/GDDR5,12 (FL 11_0),4.5,23.9,198867,21500,3175,4384,21645,244.7
133,AMD Radeon R9 M470X,GCN 2,896,,1100,,6000,128,GDDR5,12 FL11_1,4.3,,,,,,,
134,AMD Radeon R9 M385X,GCN,896,,1100,,6000,128,GDDR5,12 FL11_1,4.3,16.7,,22544,3404.5,5514.5,14024,
135,NVIDIA GeForce GTX 850M,Maxwell,640,,876,,2000 - 5000,128,"DDR3, GDDR5",12 (FL 11_0),4.4,17.1,,21873,3085.5,4385.5,16135,
136,NVIDIA Quadro M1000M,Maxwell,512,,993,1072,5000,128,GDDR5,12 (FL 11_0),4.5,22.5,,23422,3497.5,4229.5,24483,
137,NVIDIA Quadro M620,Maxwell,512,,,,5000,128,GDDR5,12 (FL 11_0),4.5,21.2,,23259,3204,3801,24751,232.29
138,AMD Radeon R9 M280X,GCN,896,,900,1000,5500,128,GDDR5,12 (FL 12_0),4.4,15,,23201,3498,4698,11618,
143,NVIDIA GeForce 945M,Maxwell,512,,928,1045,2000,128,DDR3,12 (FL 11_0),4.5,22,193684,19405,2850,3309.5,20209,208.47
144,NVIDIA GeForce GTX 765M,Kepler,768,,850,,4000,128,GDDR5,11,4.3,18.3,,17616,2479,4019,19624,266
148,NVIDIA Quadro K4000M,Kepler,960,,600,,2800,256,GDDR5,11,4.1,18.3,,19058,2199,3466,20518,
149,AMD Radeon RX Vega 10,Vega,640,,,1300,,,,12_1,,,,,,,,
Ранг,Модель,Архитектура,Пикс. шейдеры,Вершин. шейдеры,Штатная частота,Turbo,Частота памяти,Шина памяти,Тип,Версия DirectX,OpenGL,"Потенциал, %",3DMark Ice Storm GPU,3DMark Cloud Gate GPU,3DMark Fire Strike Graphics,3DMark11 P GPU,3DMark06,GFXBench
150,Intel Iris Pro Graphics P580,Intel Gen. 9 (Skylake),72,,350,1100,,eDRAM + 64/128,eDRAM,12 (FL 12_1),4.4,,,,,,,
151,Intel Iris Pro Graphics 580,Intel Gen. 9 (Skylake),72,,350,1050,,eDRAM + 64/128,eDRAM,12 (FL 12_1),4.4,15.1,184880,14594,1903,3220,,
156,AMD Radeon R9 M470,GCN 2,768,,1000,,6000,128,GDDR5,12 FL11_1,4.3,12,,24365,3655,,,
158,AMD Radeon R9 M380,GCN,768,,1000,,6000,128,GDDR5,11.1,4.3,,,,,,,
167,NVIDIA Quadro K3100M,Kepler,768,,706,,3200,256,GDDR5,11,4.3,19.8,,18389,2797,3581,22437.5,
168,AMD FirePro W5170M,GCN,640,,,925,4500,128,GDDR5,12 (FL 12_0),4.3 / Vulkan,9,,19095,2909,4197,,
169,AMD Radeon R9 M370X,GCN 1.0,640,,800,,4500,128,GDDR5,12 (FL 11_1),4.3,20.8,188948,15454.5,2419,3637.5,18481,219.8
172,NVIDIA GeForce GTX 760M,Kepler,768,,657,,4000,128,GDDR5,11,4.3,17,,15900,2271,3369,19221,
173,AMD Radeon R9 M275,GCN,640,,925,,4500,128,GDDR5,12 (FL 11_1),4.2,15,145646,11459,1885,3261,10378,
175,"NVIDIA Maxwell GPU Surface Book (940M, GDDR5)",Maxwell,384,,954,993,5012,64,GDDR5,12 (FL 11_0),4.5,16.1,123411,11380,2075.5,2577,15111,
176,AMD FirePro W5130M,GCN,512,,,925,4000,128,GDDR5,12 (FL 12_0),4.3 / Vulkan,14.4,,14380.5,2110,3106,15680,
182,NVIDIA Quadro K3000M,Kepler,576,,654,,2800,256,GDDR5,11,4.1,22.8,,,,2427,17037.5,
184,AMD FirePro M6000,GCN,640,,750,,4500,128,GDDR5,11.1,4.1,23,,,,2422,17152,
185,AMD FirePro M5100,GCN,640,,725,775,4500,128,GDDR5,12 (FL 11_1),4.3,16.5,,16784.5,2327.5,2967,18391,
186,NVIDIA Quadro K2100M,Kepler,576,,667,,3000,128,GDDR5,11,4.3,13.3,,11835,1606,2393.5,15586,
192,NVIDIA GeForce GT 755M,Kepler,384,,980,,5400,128,GDDR5,11,,14.5,,14966.5,2105.5,2800.5,15861,
194,NVIDIA GeForce 845M,Maxwell,384,,1071,1150,2000 - 5000,64/128,DDR3/GDDR5,12 (FL 11_0),4.4,6.7,,13754,2362,2973,,
197,AMD Radeon R9 M265X,GCN,640,,625,,4000,128,GDDR5,12 (FL 11_1),,13.7,,12510,1997,2633,15426,
199,AMD Radeon R7 M465,GCN,384,,825,960,4000,128,GDDR5,11.1,,5.9,,12250,1740,,,
201,AMD FirePro W4170M,GCN,384,,850,900,4000,128,GDDR5,11.2,,12.3,,12506,1766,2315,13622,
Ранг,Модель,Архитектура,Пикс. шейдеры,Вершин. шейдеры,Штатная частота,Turbo,Частота памяти,Шина памяти,Тип,Версия DirectX,OpenGL,"Потенциал, %",3DMark Ice Storm GPU,3DMark Cloud Gate GPU,3DMark Fire Strike Graphics,3DMark11 P GPU,3DMark06,GFXBench
207,NVIDIA GeForce GT 750M,Kepler,384,,967,,2000 - 5000,128,"DDR3, GDDR5",11,,12.1,,10822,1574,2543,13670,
208,Intel Iris Pro Graphics 6200,Broadwell,48,,300,1150,,eDRAM + 64/128,,12 (FL 11_1),4.3,6.4,,15387.5,1736.5,2766,,
209,NVIDIA Quadro M520,Maxwell,384,,756,1019,,64,GDDR5,12 (FL 11_0),4.5,18.4,166193,13394,2342,2658,17305,178.5
210,NVIDIA GeForce MX130,Maxwell,384,,1122,1242,,64,GDDR5/DDR3,12 (FL 11_0),4.5,6.3,,,,3188,,
211,NVIDIA GeForce 940MX,Maxwell,384,,1122,1242,4000,64,GDDR5/DDR3,12 (FL 11_0),4.5,14.8,143929,11461.5,1960.5,2543,12843,131.1
212,NVIDIA Quadro K1100M,Kepler,384,,705,,2800,128,GDDR5,11,4.3,10.4,,9227.5,1340.5,1826.5,12159,
213,AMD Radeon RX Vega 8,Vega,512,,,1100,,,,12_1,,12,113347,16285,2460,3602,,
214,NVIDIA GeForce 940M,Maxwell,384,,1072,1176,2000,64,DDR3,12 (FL 11_0),4.5,13.2,123311,8818.5,1622,2405.5,11920,127.47
215,NVIDIA GeForce 930MX,Maxwell,384,,952,1020,2000,64,GDDR5/DDR3,12 (FL 11_0),4.5,10.4,,9056,1573,2197,12183,124.1
216,AMD FirePro W4190M,GCN,384,,825,900,4000,128,GDDR5,11.2,,11.9,,12317,1745,2351,12929,
